,Hospital Name,State,District,Contact Details,Total Beds Available,Latitude,Longitude
33,Sane guruji Hospital Rajopadhaynagar,Maharastra,Kolhapur,0,55,16.6787,74.20718
34,Shatayu Hospital Bambvde,Maharastra,Kolhapur,8805917130,27,,
35,Shauhsmarak bhavan Dasra Chowk,Maharastra,Kolhapur,0,55,,
36,Shiroli Doctor Association p shiroli Hatkangle,Maharastra,Kolhapur,9373145054,80,,
37,Shivaji University hostel 1 kolhapur,Maharastra,Kolhapur,0,100,,
38,Shivaji University hostel 2 kolhapur,Maharastra,Kolhapur,0,80,16.68725,74.25915
39,Shivali Poly clinic shirol,Maharastra,Kolhapur,9623732383,40,,
40,shree gajanan maharaj mandir khotwadi,Maharastra,Kolhapur,9423815006,50,,
41,shree ganesh hospital A lat shirol,Maharastra,Kolhapur,9822323645,30,16.69111,74.22486
42,Vankteshvara highschool kabnoor,Maharastra,Kolhapur,9422654053,15,,
43,Vital Hospital More Wadi Kolhapur,Maharastra,Kolhapur,9325661963,30,,
44,Rajshree Shahu Goverment Medical college and CPR hospital,Maharastra,Kolhapur,9011066766,484,,
45,"Department of Telecommunication,shivaji University",Maharastra,Kolhapur,9421924136,245,,
46,Isolation Hospital,Maharastra,Kolhapur,9421111544,121,16.67995,74.23238
47,Andi Ubavani Kendra Kolhapur,Maharastra,Kolhapur,9422494130,40,16.69111,74.22486
48,Shivaji University Hostel No.3,Maharastra,Kolhapur,9764649666,90,16.68725,74.25915
49,"D Y PATIL HOSPITAL,Kolhapur",Maharastra,Kolhapur,9158595999,48,,
50,Gangaprakash Hospital kolhapur,Maharastra,Kolhapur,9423281787,18,,
51,Sai Cardiac Hospital Kolahpur,Maharastra,Kolhapur,9011961100 / 9011066060,45,16.69111,74.22486
52,Siddhivinayak Concordance Hospital & resrch Center,Maharastra,Kolhapur,9067502277,68,,
53,Anand nursing home,Maharastra,Kolhapur,9326731111,25,16.68964,74.23104
54,Antrang Hospital Kolhapur,Maharastra,Kolhapur,7798484393,14,16.71241,74.23159
55,Apex hospital kolhapur,Maharastra,Kolhapur,8805782303,6,16.69111,74.22486
56,Apple Saraswati hospital kolhapur,Maharastra,Kolhapur,9423824611,12,,
57,Ashoka Multispeciality Hospital,Maharastra,Kolhapur,9765640404,20,,
58,Ashwini Hospital,Maharastra,Kolhapur,9637246790,27,,
59,Aster Adhar Hospital Kolhapur,Maharastra,Kolhapur,9225068504 / 02316622555,37,,
60,Athayu Hospital Ujalawadi pune-Banglour highway,Maharastra,Kolhapur,8130071108 / 9689863141,0,,
61,City hospital kolhapur,Maharastra,Kolhapur,9823017230,28,,
62,Dattkrupa Multispeciality Hospital,Maharastra,Kolhapur,9637859906,25,,
63,Dattsai Hospital Kolhapur,Maharastra,Kolhapur,8805000785,32,,
64,Diamond Super speciality Hospital Kolhapur,Maharastra,Kolhapur,9552885241,72,,
65,Gholpe Hospital,Maharastra,Kolhapur,8108810844 / 9765679991,40,16.69111,74.22486
66,Guruprasad Multispeciality Hospital,Maharastra,Kolhapur,9373751759,21,,
67,Janki Nursing Home,Maharastra,Kolhapur,9422412513,41,16.68964,74.23104
68,Kande Hospital,Maharastra,Kolhapur,9823295540 / 9823085943,14,,
69,Kapileshvar nursing home,Maharastra,Kolhapur,7798484393,34,,
70,Kelvalkar Hospital,Maharastra,Kolhapur,9130476060,10,,
71,Kolhapur orthopedic institute,Maharastra,Kolhapur,9822058284,3,,
72,KPC Hospital,Maharastra,Kolhapur,9881507777,18,16.69111,74.22486
73,Krishna Hospital,Rajasthan,Bhilwara,9660151617,135,,
74,Kruplani Hospital,Maharastra,Kolhapur,0,18,,
75,Kudalkar Hopital Covid Unit Pethvadgaon,Maharastra,Kolhapur,9422582760,30,,
76,Kukareja nursing home,Maharastra,Kolhapur,9823644644,36,,
77,Mahalaxmi Hospital,Maharastra,Kolhapur,9823021325,25,,
78,Mangalmurti HOSPITAL,Maharastra,Kolhapur,7720907474,22,,
79,Metro Hospital Kolhapur,Maharastra,Kolhapur,9822113020,34,,
80,Morya hospital Rajarampuri,Maharastra,Kolhapur,7507507010,65,,
81,Morya Nursing Home,Maharastra,Kolhapur,9922994110,15,,
82,Mudhale nursing home &kolhapur endscopy center,Maharastra,Kolhapur,9403465365,38,,
83,Narayani Hospital,Maharastra,Nashik,"8390000385 , 9881158794",45,,
84,Niramay hospital ruikar colony,Maharastra,Kolhapur,9325007452,9,,
85,North Star Hospital,Maharastra,Kolhapur,9822973860,22,,
86,Orange multispeciality hospital,Maharastra,Kolhapur,9823915756,15,,
87,Pulse Hospital kolhapur,Maharastra,Kolhapur,9822256016,33,,
88,Ratna Medicare,Maharastra,Kolhapur,9730948767 / 9665524469,33,,
89,sachin super speciality,Maharastra,Kolhapur,8983059090,68,,
90,Sadgur multispeciality,Maharastra,Kolhapur,9545990600,20,,
91,Sai Nursing Home,Maharastra,Kolhapur,9822899220,21,,
92,samarth polyclinic,Maharastra,Kolhapur,9228534774,15,16.69111,74.22486
93,Sanjeevan Hospital Borpadle,Maharastra,Kolhapur,9420269595,32,,
94,Sarsvati Medicity dasrchowk,Maharastra,Kolhapur,9881202168,40,,
95,"Sharnya Heart Hospital,kolhapur",Maharastra,Kolhapur,7972824797,24,,
96,Shrawasti Hospital Kolhapur,Maharastra,Kolhapur,8806998028,30,,
97,"Shree Hospital, Vimal Medicare",Maharastra,Kolhapur,9970666930,24,,
98,shree Multispeciality hospital,Maharastra,Kolhapur,9730945949,37,,
99,Shree siddhi nursing home,Maharastra,Kolhapur,9850604887,24,,
100,siddhant hospital,Maharastra,Kolhapur,9503087121,23,16.69111,74.22486
101,siddhivinayak heart hospital,Maharastra,Kolhapur,7276005050,14,16.69111,74.22486
102,sidhant Hospital kolhapur,Maharastra,Kolhapur,9673431454 / 0231 264 4121,17,16.69111,74.22486
103,Star superspeciality hospital,Maharastra,Kolhapur,7020918166,36,16.69111,74.22486
104,Sun Rise Hospital Kolhapur,Maharastra,Kolhapur,9921792969,9,,
105,Surya hospital Kolhapur,Maharastra,Kolhapur,9371190373,34,16.69111,74.22486
106,swastik Hospital,Maharastra,Kolhapur,7709112222,15,16.69111,74.22486
107,Tulip Hospital,Maharastra,Nashik,9119444802,28,19.99076,73.78707
108,Venketeshware Hospital,Maharastra,Kolhapur,9890837503,30,16.69111,74.22486
109,Vijay Hospital,Rajasthan,Bharatpur,9352731498,34,,
110,walavalkar hospital,Maharastra,Kolhapur,9822112271,20,,
111,Wines Hospital,Maharastra,Kolhapur,9130421441,50,,
112,Yashvant Dharmarth Rugnalay Kodoli,Maharastra,Kolhapur,8830604850,40,16.65967,74.36202
113,Vidyaniketan Shignapur karveer,Maharastra,Kolhapur,9922661600,82,16.69111,74.22486
114,Aundh - baner DCH,Maharastra,Pune,020-29525922 /,49,18.56428,73.78669
115,Dalvi Hospital ( Shivajinagar ),Maharastra,Pune,na,6,,
116,Naidu Hospital ( Wellesley Rd ),Maharastra,Pune,9689931118,110,18.5506,73.94342
117,Sardar Vallabhbhai Patel Hospital Pune,Maharastra,Pune,9130038713,2,,
118,Sasoon ( Station Rd ),Maharastra,Pune,"02026102205, 02026102550,02026102620, 02026102616",229,,
119,Sonawane Maternity Hospital ( Kashewadi ),Maharastra,Pune,8856036290,30,18.50585,73.87062
120,Rakshak Nagar Krida Sankul CCC KHARADI,Maharastra,Pune,7499379727,248,,
121,Deenanath mangeshkar hospital (Erandwane),Maharastra,Pune,"020 40151000,020 49153000",0,,
122,Poona Hospital ( Sadashiv Peth ),Maharastra,Pune,020-66096000,90,,
123,Symbiosis Hospital ( Lavale),Maharastra,Pune,"+91 98186 46489, +91 20 6193 0044, +91 866 998 8365",190,,
124,AIMS Hospital & Research Center ( Aundh),Maharastra,Pune,8554948899/020-67400124,103,,
125,Devyani multispeciality Hospital ( Kothrud),Maharastra,Pune,9850811722,96,,
126,Jahangir Hospital Pune ( Sangam wadi ),Maharastra,Pune,8888821002/ 02066811802/1801,0,,
127,KEM HOSPITAL ( Rasta Peth ),Maharastra,Pune,8788711413,193,,
128,Rising Medicare Hospital ( Kharadi),Maharastra,Pune,9372030440,78,,
129,RUBY HALL CLINIC ( Sasoon rd ),Maharastra,Pune,0,399,,
130,Shree Hospital Criticare & Trauma Center Pvt Ltd( Kharadi),Maharastra,Pune,"9822040769,9823077204",36,,
131,smt.Kashibai Navale medical collge and general Hospital ( Narhe Ambegaon ),Maharastra,Pune,7030010302,198,,
132,"Aura Multispeciality Hospital,Ambegaon",Maharastra,Pune,9021229340,35,,
133,Benecare Hospital,Maharastra,Pune,"020-29996919, 8459617839",0,,
134,BHARATI HOSPITAL ( Dhankawadi ),Maharastra,Pune,9822051716,300,,
135,Chintamani hospital- Bibwewadi,Maharastra,Pune,020 - 2421 2112 / 15 / 16 / 17,8,,
136,Hardikar Hospital ( Shivaji nagar),Maharastra,Pune,7774064091,26,,
137,INAMDAR Multi Specialty HOSPITAL ( Fatima Nagar ),Maharastra,Pune,9822037000/9372600000/ 9372619218,3,,
138,INLAKS & BUDHARANI HOSPITAL ( Koregaon park),Maharastra,Pune,02066099701/ 02066099717,209,,
139,Jeevandhara Multispeciality Hospital ( Katraj),Maharastra,Pune,020-24369032/33,57,,
140,Jupiter Hospital ( Baner ),Maharastra,Pune,020-27992799,23,18.56598,73.78456
141,kirad nursing home,Maharastra,Pune,9881716152,3,18.75176,73.41123
142,krishna hospital ( Kothrud),Maharastra,Pune,020-41403700,16,18.5506,73.94342
143,lifecare multispeciality hospital (vadgaon budruk),Maharastra,Pune,9764457350,4,18.36627,73.85213
144,Lokmanya Hospital-Gokhale Nagar,Maharastra,Pune,9673859185/9922442179,18,18.63615,73.78913
145,MJM Hospital ( Shivajinagar ),Maharastra,Pune,020-41499999,0,18.52946,73.84782
146,Morya Multi-specialty Hospital ( Sinhgad rd ),Maharastra,Pune,9921714141,65,18.4634,73.81951
147,"NOBLE HOSPITAL, ( Hadapsar )",Maharastra,Pune,9823080895,78,18.5506,73.94342
148,ORCHID HOSPITAL ( Lohegaon ),Maharastra,Pune,9922566400,26,18.60511,73.91348
149,Oyster and Pearl Hospital ( Shivajinagar ),Maharastra,Pune,020-67216620,105,18.52946,73.84782
150,Rao Nursing Home ( Bibwewadi),Maharastra,Pune,9011068866/7385509944,49,18.48116,73.87405
151,"RUBY HALL CLINIC, Hinjawadi",Maharastra,Pune,954521331,14,18.53372,73.87703
152,Sahyadri Hospital (Hadapsar),Maharastra,Pune,02067210524 / 7620348095,0,,
153,Sahyadri Hospital Karve Road Deccan,Maharastra,Pune,9839231840,0,18.50701,73.82845
154,SAHYADRI HOSPITAL NAGAR ROAD,Maharastra,Pune,088062 52525,0,18.5614,73.91395
155,Sancheti Hospital ( Shivajinagar ),Maharastra,Pune,020 27999999 / 8806666303,40,,
156,Sanjeevan Hospital ( karve rd ),Maharastra,Pune,7887882698,78,,
157,Shwas Multispeciality Hospital ( ambegaon bk ),Maharastra,Pune,9373699122,35,18.5506,73.94342
158,SILVER BIRCH MULTISPECIALITY HOSPITAL ( Dhayari),Maharastra,Pune,9823231846,62,18.5506,73.94342
159,Ushakiran Hospital ( Hadapsar ),Maharastra,Pune,9422300897,48,18.5,73.95492
160,Vimal Nursing Home ( Dhankwadi ),Maharastra,Pune,"020-24373507,",16,18.47802,73.84044
161,Yash Hospital Hadpasr,Maharastra,Pune,9112809809,78,18.5506,73.94342
162,aarya multispecity hospital(kondhwa),Maharastra,Pune,9975622923,29,18.46041,73.8359
163,Adhar hospital ( Hadapsar ),Maharastra,Pune,9765078515/8484083184,17,18.5,73.95492
164,Agarwal Maternity & General Hospital (Chandan Nagar ),Maharastra,Pune,8446461156,35,18.67132,74.10121
165,Allince Munot Hospital ( Bhawani Peth ),Maharastra,Pune,"020-26451691, 9922414489",18,18.52298,73.86393
166,AMRUT HOSPITAL ( Yerwada),Maharastra,Pune,9325362742,9,18.55839,73.89576
167,ANAND HOSP ( DHANKAWADI),Maharastra,Pune,"9822438909,38001",11,18.47464,73.84534
168,APPLE HOSPITAL ( LOHAGON ),Maharastra,Pune,8010044775,15,18.5506,73.94342
169,"Apple Hospital 2 ( Wadgaon Shinde rd, Lohgaon )",Maharastra,Pune,9271717433,13,18.60115,73.92397
170,Asha Clinic ( Fursungi ),Maharastra,Pune,8390877799,6,18.55283,73.88419
171,Astang Multispeciality Hospital ( Sadashiv Peth ),Maharastra,Pune,9096568819,20,18.51078,73.85021
172,Bhakare Super Speciality Hospital & Research Institute ( Ambegaon BK),Maharastra,Pune,8830409001,41,,
173,Bhandari Hospital( Anand nagar ),Maharastra,Pune,7447496784,18,18.46868,73.81724
174,Bharati Hospital ( Ayurvedic ) Dhankawadi,Maharastra,Pune,02040555615,50,18.47464,73.84534
175,Bora Hospital ( Ganesh Peth ),Maharastra,Pune,9822035935,7,18.51621,73.86253
176,Chandan Nagar Nursing Home ( Chandan nagar ),Maharastra,Pune,9823041533,0,18.67132,74.10121
177,CHANDRA NURSING HOME ( Kondhwa BK ),Maharastra,Pune,9325208383 / 8007375984,14,,
178,Chandralok hospital ( Bibwewadi),Maharastra,Pune,7887881499,20,18.48116,73.87405
179,Chinmay Hospital ( Uttamnagar ),Maharastra,Pune,9623475007,7,18.5506,73.94342
180,"Critical health care facility, Pune ( Rasta Peth)",Maharastra,Pune,0,12,18.46041,73.8359
181,CT NURSING HOME ( Dhanori ),Maharastra,Pune,8888405204,15,18.59642,73.90442
182,Dhanawantari hospital ( Rasta peth ),Maharastra,Pune,8806666063/26064996/26061519,2,18.51997,73.86698
183,dhanwantari hospital ( dhanori),Maharastra,Pune,9373677106,10,18.5506,73.94342
184,Dr.Mhaske hospital ( Hadapsar),Maharastra,Pune,9923010890,22,18.5,73.95492
185,GANGA NURSING HOME (Mundhwa),Maharastra,Pune,9822289505,15,18.53367,73.93178
186,GIRIJA HOSPITAL ( Kothrud),Maharastra,Pune,7498507232,10,18.5506,73.94342
187,Global Hospital (Sinhgad rd ),Maharastra,Pune,9922441114,39,18.4634,73.81951
188,Gurukrupa Hospital ( Dandekar Bridge ),Maharastra,Pune,7038062772,13,18.50112,73.84666
189,Harsh Hospital ( Bibwewadi),Maharastra,Pune,020-24267218,10,18.48116,73.87405
190,Hope hospital ( New Nana peth ),Maharastra,Pune,9422007184,5,18.51586,73.8699
191,HORIZON HEALTH HOSPITAL ( Fursungi ),Maharastra,Pune,9067887610,19,18.47381,73.9601
192,Inaam hospital( yerwada),Maharastra,Pune,9822502806,8,18.55839,73.89576
193,JAGTAP MULTISPECIALITY HOSPITAL ( Sinhgad rd),Maharastra,Pune,"8080772936, 020 24352976, 7769951782, 8999074246,",48,18.4634,73.81951
194,JEEWAN JYOT MULTISPECIALITY MEDICARE CENCRE ( Kharadi),Maharastra,Pune,8390930379,26,18.55052,73.94249
195,Kalyani Hospital ( Guruwar Peth ),Maharastra,Pune,9822056049,6,18.50346,73.86156
196,Kasturba Specility Hospital (Visharant Wadi),Maharastra,Pune,+917378591700,41,18.56901,73.87891
197,KAVADE NURSING HOME ( Uttam nagar ),Maharastra,Pune,9822523023,10,18.4701,73.76855
198,Khenat Hospital ( Karve Nagar),Maharastra,Pune,7709188744,15,18.49295,73.81838
199,KK Hospital (Chandan nagar ),Maharastra,Pune,7030607333,20,18.67132,74.10121
200,Kohakade hospital (Chandan Nagar),Maharastra,Pune,7385406224,40,18.67132,74.10121
201,Kurkute Hospital ( Wadgaon Sheri),Maharastra,Pune,9822316866,10,18.54601,73.92192
202,Life Line Hospital (Fursungi),Maharastra,Pune,7756977272,25,18.47381,73.9601
203,LifeCare Multispecility Hospital ( Near Samruddhi Hotel Hadapsar ),Maharastra,Pune,7020167179,30,,
204,lifeline hospital kondhwa,Maharastra,Pune,8888442202,14,18.5506,73.94342
205,Mantri Hospital (Erandwane ),Maharastra,Pune,9822096460,5,18.50347,73.83526
206,Mathura Hospital ( Yerawada),Maharastra,Pune,"9822291506, 9960785224",15,18.56519,73.87801
207,MATRUCHHAYA NURSING HOME ( Warje),Maharastra,Pune,8446479548,8,18.48204,73.80017
208,Medicare Hospital ( Hadapsar),Maharastra,Pune,9850403026,18,18.5,73.95492
209,Medipoint hospital ( Aundh),Maharastra,Pune,020 67643200,62,18.5506,73.94342
210,Meera Hospital ( Bhawani Peth ),Maharastra,Pune,020-67212000,15,18.52298,73.86393
211,Minerna hospital ( Shivne ),Maharastra,Pune,9923232233,18,18.5506,73.94342
212,N M Wadia institute of Cardiology ( Sasson rd ),Maharastra,Pune,"020-67636400, 9607996716",25,18.46041,73.8359
213,nagare nursing home ( Uttamnagar ),Maharastra,Pune,9822091755,15,18.46041,73.8359
214,Navjeevan Nursing Home ( Hadapsar ),Maharastra,Pune,9823137136 / 020 26970300 /9834201640,25,18.5,73.95492
215,New Sofia Clinic ( Kondhwa KH ),Maharastra,Pune,9511295983,11,18.55283,73.88419
216,Nikhil Polyclinic ( Yerwada ),Maharastra,Pune,"020-25501015, 9422030442,9689934284",12,18.55839,73.89576
217,Panchsheel Hospital ( NANA PETH ),Maharastra,Pune,9823588880 / 9762268113,9,18.66468,73.76877
218,PARAS NURSING HOME ( Dhankawadi ),Maharastra,Pune,020-24378052 / 9028775027,8,18.47464,73.84534
219,Patil Hospital ( Dattananagar ),Maharastra,Pune,8605121899,15,18.5506,73.94342
220,"Patil Hospital,(Sinhgad Road) Pune",Maharastra,Pune,9225825461,43,18.5506,73.94342
221,Pawar Hospital ( Dhankawadi ),Maharastra,Pune,020-24372008 /9860888892,20,18.47464,73.84534
222,Pearl hospital ( Hadapsar ),Maharastra,Pune,"8237421291,9960027206",10,18.5,73.95492
223,Prabha Hospital ( Hadapsar ),Maharastra,Pune,9224688223,6,18.5,73.95492
224,prakash hospital( hadapsar),Maharastra,Pune,9552016103 / 8459960099,17,18.5,73.95492
225,PRIME MULTISPECIALITY HOSPITAL ( Kondhwa ),Maharastra,Pune,9975586761,28,18.5506,73.94342
226,pune Adventist Hospital (Market Yard ),Maharastra,Pune,9420730717,22,18.5506,73.94342
227,Railway Hospital ( Station rd ),Maharastra,Pune,02026111528 / 9664089774,30,18.73562,73.68769
228,Ram Krushna Hospital ( Tilak rd ),Maharastra,Pune,9422080954,5,18.50637,73.84821
229,Ranka Hospital ( Swargate ),Maharastra,Pune,"9503606607, 7387601495",32,18.50073,73.85838
230,Remedy Hospital ( Hadapsar ),Maharastra,Pune,020-26999186 / 9423013305,17,18.5,73.95492
231,SAHARA MULTISPECILITY HOSPITAL( Shinhgad rd ),Maharastra,Pune,7045800800/9960399949,10,18.5506,73.94342
232,Sai Prasad Hospital ( Dattannagar ),Maharastra,Pune,", 7821074109,9822518726",79,18.59881,73.79887
233,Sai Samarth Hospital ( Kasba Peth ),Maharastra,Pune,9923322903,13,18.52191,73.85829
234,Sai Shraddha Hospital ( Lohgaon ),Maharastra,Pune,7741973792,0,18.5506,73.94342
235,Sai Spandan Hospital ( Hadapsar ),Maharastra,Pune,9860576115,25,18.5,73.95492
236,sane guruji aarogy kendra ( Hadapsar ),Maharastra,Pune,9850730341,34,18.5,73.95492
237,Sanjeevani Hospital ( uttamnagar),Maharastra,Pune,9822011384,0,18.5506,73.94342
238,Sathe Hospital ( Deccan Gymkhana ),Maharastra,Pune,9970785525,15,18.51766,73.84202
239,Seth tarachand ramnath charitable ayurvedic hospital ( Rasta Peth ),Maharastra,Pune,9834797745 / 9145614638/020 26336945,50,18.51997,73.86698
240,Sharad Hospital (sinhgad rd),Maharastra,Pune,24350286,20,18.4634,73.81951
241,"Shashwat Hospital, Aundh",Maharastra,Pune,9922944083,43,18.5506,73.94342
242,shatayu hospital ( mundhawa ),Maharastra,Pune,9921482070,8,18.5506,73.94342
243,shatayu hospital ( Dhankawadi ),Maharastra,Pune,9890102089,9,18.47464,73.84534
244,Shatayu Hospital ( Wadgaon ),Maharastra,Pune,7620960342,12,18.5506,73.94342
245,Shinde Nursing Home ( Bhawani Peth ),Maharastra,Pune,020-26380058,9,18.52298,73.86393
246,Shraddha Hospital ( Mundhwa),Maharastra,Pune,"9823921693,8485098798,8177856807",11,18.5506,73.94342
247,SHREE GANESH MULTISPECILITY HOSPITAL ( manjari) ),Maharastra,Pune,8329694790/7387895422,25,18.51179,73.81875
248,Shree samarth Hospital ( Rasta Peth),Maharastra,Pune,8805387387,55,18.51997,73.86698
249,Shree seva Hospital ( Fursungi ),Maharastra,Pune,9766959515,15,18.5506,73.94342
250,SHRI GIRI HOSPITAL & HEART CARE CENTER ( Hadapsar 0,Maharastra,Pune,7769909292,15,18.4978,73.99552
251,suraj hospital (kondhwa rd),Maharastra,Pune,"8380095717,9860888892",15,18.45357,73.89078
252,Surya Prabha Nursing home ( Kothrud ),Maharastra,Pune,"8485841070/74, 8805598244",6,18.50389,73.80767
253,Sushrut Hospital ( Kothrud ),Maharastra,Pune,7066963300 / 9967090083,11,18.5506,73.94342
254,Tanmay Hospital ( Hadapsar ),Maharastra,Pune,9860148121,7,18.5,73.95492
255,Todkar Hospital ( Bhavani Peth),Maharastra,Pune,9822024041,15,18.50983,73.87136
256,Tukaai multispecility hospital ( Kharadi),Maharastra,Pune,9011972177,8,18.55052,73.94249
257,Universal Hospital ( Shaniwar wada ),Maharastra,Pune,02024578899/ 8888288880,30,18.5125,73.85383
258,Vighnaharta Multi-speciality Hospital ( Bibwewadi ),Maharastra,Pune,99-21884422/020-24412288,37,18.45849,73.78707
259,Villoo Poonawala Memorial Hospital ( Hadapsar ),Maharastra,Pune,7887887053 / 7887800000,45,18.5,73.95492
260,VIMAL MULTISPECIALITY HOSPITAL ( Lohgaon),Maharastra,Pune,9175884800,20,18.5506,73.94342
261,Vinod Memorial Hospital ( Visharant wadi ),Maharastra,Pune,8806666732,25,18.56901,73.87891
262,YASHORAHI MULTISPECILAITY HOSPITAL ( Shivne ),Maharastra,Pune,9823090327,5,18.5506,73.94342
263,CCC Attached SIlver line Hosp CCC,Maharastra,Pune,9028538602,15,18.46338,73.92216
264,Annasaheb Magar Stadium (Jumbo Facility),Maharastra,Pune,9922509321,200,18.56574,73.73774
265,Auto-Cluster PCMC,Maharastra,Pune,7030000170,106,18.59718,73.7699
266,New Bhosari Hospital,Maharastra,Pune,9822370098,90,18.5506,73.94342
267,New Jijamata Hospital,Maharastra,Pune,9922501316,84,18.5506,73.94342
268,"A.B.Services Boys Hostel, Akurdi (Ayush Hosp.)",Maharastra,Pune,9922736052,50,18.54187,73.88756
269,"All India Jain Foundation, Ravet (Oxycare Hospital)",Maharastra,Pune,9422555055,60,18.47987,73.84492
270,Balewadi Sports Complex (BVG India),Maharastra,Pune,8605834682,220,18.57617,73.76115
271,Balnagari (Ruby Ailcare),Maharastra,Pune,9881729591,300,18.51502,73.85104
272,"Gharkul B-10, Chikhali (Divine Hosp)",Maharastra,Pune,9309163248,199,18.63296,73.80862
273,"Gharkul B-12, Chikhali (Divine Hosp)",Maharastra,Pune,9309163248,200,18.49974,73.9365
274,"Gharkul B-9, Chikhali (Divine Hosp)",Maharastra,Pune,7030729676,200,18.63296,73.80862
275,"Gharkul D-5, Chikhali (Icon Hosp)",Maharastra,Pune,9881729591,300,18.67059,73.80616
276,"Gharkul D-6, Chikhali (Icon Hosp)",Maharastra,Pune,9561023231,199,18.67059,73.80616
277,"Gharkul D-7, Chikhali (Icon Hosp)",Maharastra,Pune,9561023231,200,18.67059,73.80616
278,"Gharkul D-8, Chikhali (Icon Hosp)",Maharastra,Pune,9561023231,200,18.67059,73.80616
279,"Hotel Daksh, New Telco Road, Pimpri (Divine Hospital)",Maharastra,Pune,9879888192,12,19.18698,72.83311
280,"Hotel Ginger, Wakad (Apollo Hospital)",Maharastra,Pune,9075965550,20,19.18698,72.83311
281,Hotel Pioneer (Nandedkar Hosp),Maharastra,Pune,9960889451,25,18.45702,73.82445
282,"Hotel Regal Inn, Morewadi (Ayush Hosp)",Maharastra,Pune,9922736052,50,19.18698,72.83311
283,"MHADA -11 C, Mahalunge (Bhise Hospital)",Maharastra,Pune,9169757777,249,,
284,"Sai Darshan Building, Pimple Gurav (Ayushri Hospiital)",Maharastra,Pune,9923231681,50,18.59273,73.89294
285,SKF Copany Guest House (Employee Only),Maharastra,Pune,9762888910,20,18.51502,73.85104
286,"Social Justice Departments Boys Hostel, Moshi (Trust Health Care)",Maharastra,Pune,9172259047,200,18.49129,73.81401
287,"SPM School, Yamunanagar (Star Hospital)",Maharastra,Pune,7972438063,50,18.5638,73.81066
288,"Tribal Boys Hostel, Moshi (Trust Healthcare)",Maharastra,Pune,8888442244,100,18.51502,73.85104
289,PGI YCM Hospital - DCH,Maharastra,Pune,7767006111,74,18.5506,73.94342
290,Accord Sant Dnyaneshwar Hospital,Maharastra,Pune,9689920815,22,18.54864,73.87101
291,D.Y. Patil Medical College & Hospital,Maharastra,Pune,9168259193,854,18.5506,73.94342
